Timestamp | Last_Price | Buy_Price | Sell_Price | Buy_Ratio | Sell_Ratio | B-S_Diff
20:32:03.212 | 194.80 | 194.74 | 194.87 | 42.32% | 57.68% | -15.36%
20:32:03.259 | 194.80 | 194.85 | 195.00 | 80.43% | 19.57% | +60.86%
20:32:03.307 | 194.80 | 194.85 | 195.00 | 80.43% | 19.57% | +60.86%
20:32:03.359 | 194.80 | 194.85 | 195.00 | 80.43% | 19.57% | +60.86%
20:32:03.410 | 194.80 | 194.85 | 195.00 | 80.43% | 19.57% | +60.86%
20:32:03.459 | 194.80 | 194.87 | 195.00 | 79.60% | 20.40% | +59.20%
20:32:03.514 | 194.80 | 194.87 | 195.00 | 79.60% | 20.40% | +59.20%
20:32:03.563 | 194.80 | 194.87 | 195.00 | 79.60% | 20.40% | +59.20%
20:32:03.621 | 194.80 | 194.87 | 195.00 | 79.60% | 20.40% | +59.20%
20:32:03.671 | 194.80 | 194.87 | 195.00 | 82.67% | 17.33% | +65.34%
20:32:03.720 | 194.80 | 194.87 | 195.00 | 82.67% | 17.33% | +65.34%
20:32:03.771 | 194.80 | 194.87 | 195.00 | 82.67% | 17.33% | +65.34%
20:32:03.834 | 194.80 | 194.88 | 195.00 | 82.67% | 17.33% | +65.34%
20:32:03.874 | 194.80 | 194.88 | 195.00 | 80.51% | 19.49% | +61.02%
20:32:03.928 | 194.80 | 194.88 | 195.00 | 80.51% | 19.49% | +61.02%
20:32:03.985 | 194.80 | 194.88 | 195.00 | 80.51% | 19.49% | +61.02%
20:32:04.045 | 194.80 | 194.90 | 195.00 | 81.60% | 18.40% | +63.20%
20:32:04.086 | 194.80 | 194.90 | 195.00 | 81.60% | 18.40% | +63.20%
20:32:04.136 | 194.80 | 194.90 | 195.00 | 81.60% | 18.40% | +63.20%
20:32:04.191 | 194.80 | 194.90 | 195.00 | 81.60% | 18.40% | +63.20%
20:32:04.244 | 194.80 | 194.90 | 195.00 | 83.84% | 16.16% | +67.68%
20:32:04.297 | 194.80 | 194.90 | 195.00 | 83.84% | 16.16% | +67.68%
20:32:04.348 | 194.80 | 194.90 | 195.00 | 83.84% | 16.16% | +67.68%
